Driver,PrevLapTimeSeconds,CurrentLapTimeSeconds,EventName,PrevSeason,CurrentSeason,CurrentGridPosition
LEC,109.1019090909091,112.38645,Azerbaijan Grand Prix,2021,2022,1
MSC,112.25644444444444,113.07691836734695,Azerbaijan Grand Prix,2021,2022,20
NOR,109.60720454545454,112.51954901960785,Azerbaijan Grand Prix,2021,2022,11
OCO,120.56833333333334,111.96647999999999,Azerbaijan Grand Prix,2021,2022,13
PER,108.29547727272728,110.04222,Azerbaijan Grand Prix,2021,2022,2
RIC,110.86342222222223,111.50908,Azerbaijan Grand Prix,2021,2022,12
RUS,111.72859090909091,110.54700000000001,Azerbaijan Grand Prix,2021,2022,5
SAI,110.06727272727272,109.80575,Azerbaijan Grand Prix,2021,2022,4
STR,108.1124827586207,113.46486666666667,Azerbaijan Grand Prix,2021,2022,19
TSU,109.30702272727272,112.31530612244897,Azerbaijan Grand Prix,2021,2022,8
VER,107.44317073170731,109.64182000000001,Azerbaijan Grand Prix,2021,2022,3
VET,109.01661363636363,111.56998,Azerbaijan Grand Prix,2021,2022,9
ALO,100.4427358490566,101.75509615384615,French Grand Prix,2021,2022,7
BOT,99.25260377358491,103.37316981132076,French Grand Prix,2021,2022,11
GAS,100.422,103.16150943396227,French Grand Prix,2021,2022,14
HAM,99.03158490566038,100.92076923076924,French Grand Prix,2021,2022,4
LAT,101.33117307692306,103.61005128205127,French Grand Prix,2021,2022,18
LEC,101.28161538461539,99.11423529411765,French Grand Prix,2021,2022,1
MSC,101.92128846153847,103.44350943396228,French Grand Prix,2021,2022,17
NOR,100.18494339622642,102.9082641509434,French Grand Prix,2021,2022,5
OCO,101.1324423076923,103.00133962264151,French Grand Prix,2021,2022,10
PER,99.14303773584906,101.12650000000001,French Grand Prix,2021,2022,3
RIC,100.40805660377359,103.06573584905661,French Grand Prix,2021,2022,9
RUS,101.03498076923077,101.07917307692308,French Grand Prix,2021,2022,6
SAI,100.85107547169811,102.4713962264151,French Grand Prix,2021,2022,19
STR,100.71162264150944,103.10681132075472,French Grand Prix,2021,2022,15
TSU,101.11809615384615,104.39570588235293,French Grand Prix,2021,2022,8
VER,98.9767924528302,99.86735294117646,French Grand Prix,2021,2022,2
VET,100.47992452830188,102.03311538461539,French Grand Prix,2021,2022,12
ALO,72.07981428571428,72.61052857142857,Austrian Grand Prix,2021,2022,19
GAS,71.78009859154929,72.82454285714286,Austrian Grand Prix,2021,2022,14
HAM,71.56330985915493,71.90885915492959,Austrian Grand Prix,2021,2022,8
LAT,72.54062857142857,73.47295833333334,Austrian Grand Prix,2021,2022,17
LEC,71.77095774647887,71.32833802816901,Austrian Grand Prix,2021,2022,2
MSC,73.05082608695652,72.42302857142857,Austrian Grand Prix,2021,2022,9
NOR,71.19101408450705,72.46455714285715,Austrian Grand Prix,2021,2022,10
PER,71.58391549295774,75.6965,Austrian Grand Prix,2021,2022,5
RIC,71.75969014084507,72.5808,Austrian Grand Prix,2021,2022,11
RUS,72.16027142857143,72.15892957746479,Austrian Grand Prix,2021,2022,4
SAI,71.71390140845071,71.16046428571428,Austrian Grand Prix,2021,2022,3
STR,72.33742857142857,72.76841428571429,Austrian Grand Prix,2021,2022,12
TSU,72.24231428571427,72.92074285714286,Austrian Grand Prix,2021,2022,16
VER,70.90905633802817,71.34991549295775,Austrian Grand Prix,2021,2022,1
