Driver,LapTime_first_year,LapTime_latter_year
ALB,114.69622727272727,110.47025
ALB,100.46508771929825,98.51121428571427
ALB,103.17762962962962,102.14573214285714
ALB,81.01615277777779,84.98851428571429
ALB,102.14371739130435,100.94432
ALB,98.51121428571427,100.66335714285715
ALB,,105.33678260869566
ALB,84.49361999999999,87.4784761904762
ALB,85.16617142857142,85.64076811594202
ALB,84.98851428571429,77.27084507042254
ALB,92.17120689655172,102.9735
ALB,85.77910144927536,83.46872463768115
ALB,98.99976785714286,93.5281052631579
ALB,96.97232653061225,95.92666666666666
ALB,85.76407246376812,85.77910144927536
ALB,92.043796875,81.62535384615384
ALB,93.5281052631579,96.9467894736842
ALB,84.76933333333334,104.67238888888889
ALB,98.74646153846153,96.45088461538461
ALB,82.43655384615386,85.30177777777779
ALB,116.50635714285714,114.69622727272727
ALB,110.25446,107.8520625
ALB,91.30703448275862,91.30775438596491
ALB,100.94432,96.97232653061225
ALB,104.04686666666666,99.14240983606557
ALB,103.62635714285715,103.17762962962962
ALB,,84.01462857142857
ALB,93.68740350877192,97.82664285714286
ALB,72.48091428571428,80.01520000000001
ALB,129.04478260869567,102.39281666666668
ALB,96.45088461538461,108.29774468085105
ALB,103.64063157894736,100.46508771929825
ALB,105.33678260869566,
ALB,112.33254545454545,79.54884210526316
ALB,101.28077777777779,101.28084000000001
ALB,102.9735,84.76933333333334
ALB,91.63241176470588,78.32782608695652
ALB,102.39281666666668,104.04686666666666
ALB,110.47025,113.1410731707317
ALB,87.57350980392157,85.81477358490567
ALB,110.80507843137255,110.25446
ALB,107.64545283018867,103.62635714285715
ALB,95.88040425531915,85.8596103896104
ALB,85.64076811594202,
ALB,92.7341052631579,91.30703448275862
ALB,73.28695774647888,72.48091428571428
ALB,83.23785714285714,81.41658571428572
ALB,77.27084507042254,82.16911111111112
ALB,112.23095918367346,110.80507843137255
ALB,81.41658571428572,91.63241176470588
ALB,,93.72358490566039
ALB,85.81477358490567,84.054
ALB,83.80366197183099,
ALB,96.9467894736842,94.37989473684212
ALB,85.8596103896104,112.33254545454545
ALB,,98.74646153846153
ALB,72.69841428571429,73.28695774647888
ALB,87.57660869565217,85.76407246376812
ALB,109.25107142857142,98.4169107142857
ALB,81.62535384615384,82.43655384615386
ALO,95.56702,98.37809999999999
ALO,102.58660869565219,99.90328
ALO,102.29045161290323,103.08726315789474
ALO,103.40588524590164,99.23678688524589
ALO,107.28244897959183,110.22398
ALO,101.62562790697675,98.4550625
ALO,90.72648275862069,90.95972413793103
ALO,79.48371428571429,83.43105633802816
ALO,94.835875,94.55775
ALO,93.45671929824562,93.09462962962962
ALO,87.59680392156862,85.83437735849056
ALO,86.72646376811595,85.2049
ALO,103.08726315789474,99.56794736842104
ALO,98.37809999999999,98.73328846153846
ALO,88.78448387096775,87.59680392156862
ALO,96.35838461538462,108.271
ALO,100.68494000000001,98.63931372549018
ALO,72.07981428571428,72.61052857142857
ALO,84.37027941176471,86.72646376811595
ALO,76.77273239436619,80.85454166666666
ALO,85.77373076923078,84.61784482758621
ALO,103.63728571428571,102.90420370370371
ALO,90.6776862745098,88.78448387096775
ALO,72.61052857142857,72.73132394366198
ALO,111.57175000000001,100.68494000000001
ALO,227.661,115.7175
ALO,88.6859347826087,101.74926666666667
ALO,90.66881159420291,78.90942857142856
ALO,99.23678688524589,98.43603225806451
ALO,104.27089795918366,106.30213461538462
ALO,80.94040909090909,81.68806153846154
ALO,110.15915909090909,114.74175609756098
ALO,78.74318571428572,89.4820895522388
ALO,113.15010526315788,80.75283333333333
ALO,96.26285964912282,95.5815357142857
ALO,101.74926666666667,84.9030294117647
ALO,84.89678571428571,84.9216507936508
ALO,92.06441071428571,96.23140350877192
ALO,106.30213461538462,103.63728571428571
ALO,123.47755555555555,103.40588524590164
ALO,80.68454285714286,90.66881159420291
ALO,85.24677464788732,76.88805633802816
